ItemID,ItemName,X,Y
1,Laptop Model 1,2,3
2,Keyboard Model 1,3,3
3,Mouse Model 1,6,3
4,Monitor Model 1,7,3
5,Printer Model 1,10,3
6,Scanner Model 1,11,3
7,Webcam Model 1,14,3
8,Headset Model 1,15,3
9,Speaker Model 1,18,3
10,Microphone Model 1,19,3
11,Router Model 1,22,3
12,Switch Model 1,23,3
13,SSD Model 1,26,3
14,HardDrive Model 1,27,3
15,USBDrive Model 1,30,3
16,PowerBank Model 1,31,3
17,Smartphone Model 1,34,3
18,Tablet Model 1,35,3
19,SmartWatch Model 1,38,3
20,Camera Model 1,39,3
21,Tripod Model 1,2,4
22,Projector Model 1,3,4
23,Charger Model 1,6,4
24,Battery Model 1,7,4
25,DeskLamp Model 1,10,4
26,OfficeChair Model 1,11,4
27,Desk Model 1,14,4
28,Notebook Model 1,15,4
29,Pen Model 1,18,4
30,Marker Model 1,19,4
31,Stapler Model 1,22,4
32,Calculator Model 1,23,4
33,Backpack Model 1,26,4
34,WaterBottle Model 1,27,4
35,CoffeeMug Model 1,30,4
36,TShirt Model 1,31,4
37,Jacket Model 1,34,4
38,Sneakers Model 1,35,4
39,Cap Model 1,38,4
40,Umbrella Model 1,39,4
41,Laptop Model 2,2,5
42,Keyboard Model 2,3,5
43,Mouse Model 2,6,5
44,Monitor Model 2,7,5
45,Printer Model 2,10,5
46,Scanner Model 2,11,5
47,Webcam Model 2,14,5
48,Headset Model 2,15,5
49,Speaker Model 2,18,5
50,Microphone Model 2,19,5
51,Router Model 2,22,5
52,Switch Model 2,23,5
53,SSD Model 2,26,5
54,HardDrive Model 2,27,5
55,USBDrive Model 2,30,5
56,PowerBank Model 2,31,5
57,Smartphone Model 2,34,5
58,Tablet Model 2,35,5
59,SmartWatch Model 2,38,5
60,Camera Model 2,39,5
61,Tripod Model 2,2,6
62,Projector Model 2,3,6
63,Charger Model 2,6,6
64,Battery Model 2,7,6
65,DeskLamp Model 2,10,6
66,OfficeChair Model 2,11,6
67,Desk Model 2,14,6
68,Notebook Model 2,15,6
69,Pen Model 2,18,6
70,Marker Model 2,19,6
71,Stapler Model 2,22,6
72,Calculator Model 2,23,6
73,Backpack Model 2,26,6
74,WaterBottle Model 2,27,6
75,CoffeeMug Model 2,30,6
76,TShirt Model 2,31,6
77,Jacket Model 2,34,6
78,Sneakers Model 2,35,6
79,Cap Model 2,38,6
80,Umbrella Model 2,39,6
81,Laptop Model 3,2,7
82,Keyboard Model 3,3,7
83,Mouse Model 3,6,7
84,Monitor Model 3,7,7
85,Printer Model 3,10,7
86,Scanner Model 3,11,7
87,Webcam Model 3,14,7
88,Headset Model 3,15,7
89,Speaker Model 3,18,7
90,Microphone Model 3,19,7
91,Router Model 3,22,7
92,Switch Model 3,23,7
93,SSD Model 3,26,7
94,HardDrive Model 3,27,7
95,USBDrive Model 3,30,7
96,PowerBank Model 3,31,7
97,Smartphone Model 3,34,7
98,Tablet Model 3,35,7
99,SmartWatch Model 3,38,7
100,Camera Model 3,39,7
101,Tripod Model 3,2,8
102,Projector Model 3,3,8
103,Charger Model 3,6,8
104,Battery Model 3,7,8
105,DeskLamp Model 3,10,8
106,OfficeChair Model 3,11,8
107,Desk Model 3,14,8
108,Notebook Model 3,15,8
109,Pen Model 3,18,8
110,Marker Model 3,19,8
111,Stapler Model 3,22,8
112,Calculator Model 3,23,8
113,Backpack Model 3,26,8
114,WaterBottle Model 3,27,8
115,CoffeeMug Model 3,30,8
116,TShirt Model 3,31,8
117,Jacket Model 3,34,8
118,Sneakers Model 3,35,8
119,Cap Model 3,38,8
120,Umbrella Model 3,39,8
121,Laptop Model 4,2,9
122,Keyboard Model 4,3,9
123,Mouse Model 4,6,9
124,Monitor Model 4,7,9
125,Printer Model 4,10,9
126,Scanner Model 4,11,9
127,Webcam Model 4,14,9
128,Headset Model 4,15,9
129,Speaker Model 4,18,9
130,Microphone Model 4,19,9
131,Router Model 4,22,9
132,Switch Model 4,23,9
133,SSD Model 4,26,9
134,HardDrive Model 4,27,9
135,USBDrive Model 4,30,9
136,PowerBank Model 4,31,9
137,Smartphone Model 4,34,9
138,Tablet Model 4,35,9
139,SmartWatch Model 4,38,9
140,Camera Model 4,39,9
141,Tripod Model 4,2,10
142,Projector Model 4,3,10
143,Charger Model 4,6,10
144,Battery Model 4,7,10
145,DeskLamp Model 4,10,10
146,OfficeChair Model 4,11,10
147,Desk Model 4,14,10
148,Notebook Model 4,15,10
149,Pen Model 4,18,10
150,Marker Model 4,19,10
151,Stapler Model 4,22,10
152,Calculator Model 4,23,10
153,Backpack Model 4,26,10
154,WaterBottle Model 4,27,10
155,CoffeeMug Model 4,30,10
156,TShirt Model 4,31,10
157,Jacket Model 4,34,10
158,Sneakers Model 4,35,10
159,Cap Model 4,38,10
160,Umbrella Model 4,39,10
161,Laptop Model 5,2,11
162,Keyboard Model 5,3,11
163,Mouse Model 5,6,11
164,Monitor Model 5,7,11
165,Printer Model 5,10,11
166,Scanner Model 5,11,11
167,Webcam Model 5,14,11
168,Headset Model 5,15,11
169,Speaker Model 5,18,11
170,Microphone Model 5,19,11
171,Router Model 5,22,11
172,Switch Model 5,23,11
173,SSD Model 5,26,11
174,HardDrive Model 5,27,11
175,USBDrive Model 5,30,11
176,PowerBank Model 5,31,11
177,Smartphone Model 5,34,11
178,Tablet Model 5,35,11
179,SmartWatch Model 5,38,11
180,Camera Model 5,39,11
181,Tripod Model 5,2,12
182,Projector Model 5,3,12
183,Charger Model 5,6,12
184,Battery Model 5,7,12
185,DeskLamp Model 5,10,12
186,OfficeChair Model 5,11,12
187,Desk Model 5,14,12
188,Notebook Model 5,15,12
